Feature,Importance
PC13,0.1943052879107288
PC20,0.1281297029575343
PC23,0.11109788024524098
PC10,0.059648282486969455
PC15,0.055365545433322366
PC5,0.03450796376105648
PC16,0.03440105078646998
PC11,0.032576474960554824
PC24,0.03218932666181285
PC2,0.029124540085900166
PC14,0.029122969646747432
PC1,0.0257602986083738
PC18,0.024588774983396906
PC8,0.023673460977909105
PC22,0.022918845183766745
PC12,0.0226304490400344
PC21,0.02167087449515091
PC7,0.018438379113445307
PC17,0.0183624915863109
PC6,0.018164361030994673
PC3,0.01802289826959056
PC9,0.015924088018567505
PC19,0.01552062487621346
PC4,0.013855428879908059
